Year,Buildings
1961,2971.488798
1962,2987.703389
1963,3031.194847
1964,2978.704323
1965,2982.601493
1966,2949.597886
1967,2961.520953
1968,2963.958464
1969,2976.268915
1970,3021.49085
1971,4036.378533
1972,4008.017343
1973,3943.644933
1974,3902.971359
1975,3946.25148
1976,3930.174491
1977,3892.019004
1978,3882.370369
1979,3837.645787
1980,3826.47531
1981,3816.655612
1982,3801.128259
1983,3753.655677
1984,3801.328097
1985,3857.792706
1986,3874.15273
1987,3855.197173
1988,3842.41348
1989,3844.116283
1990,3934.812836
1991,3921.409967
1992,3896.18108
1993,3918.74849
1994,3948.334138
1995,4001.013425
1996,4046.634864
1997,4033.000183
1998,3924.202571
1999,3948.469721
2000,3929.245188
2001,3915.028968
2002,3926.186866
2003,3912.802979
2004,3869.880325
2005,3862.875582
2006,3808.747595
2007,3733.722216
2008,3757.305269
2009,3776.813463
2010,3727.370894
2011,3653.929401
2012,3658.908859
2013,3667.357862
2014,3630.408588
