Year,Buildings
2015,3693.718298
2016,3754.49086
2017,3815.070012
2018,3875.869825
2019,3936.619173
2020,3997.289763
2021,4057.946428
2022,4118.643577
2023,4179.281958
2024,4239.981846
2025,4300.643732
2026,4361.345091
2027,4422.009447
2028,4482.709806
2029,4543.374234
2030,4604.070907
2031,4664.737348
2032,4725.431623
2033,4786.10028
2034,4846.792717
2035,4907.463397
2036,4968.154033
2037,5028.826444
2038,5089.515457
2039,5150.189347
2040,5210.87697
2041,5271.552134
2042,5332.238584
2043,5392.914828
2044,5453.600291
2045,5514.277436
2046,5574.962078
2047,5635.639971
2048,5696.323933
2049,5757.002442
2050,5817.685846
