Year,Buildings
2015,3657.386643
2016,3681.695668
2017,3705.927328
2018,3730.247253
2019,3754.546993
2020,3778.815228
2021,3803.077895
2022,3827.356754
2023,3851.612106
2024,3875.892062
2025,3900.156816
2026,3924.43736
2027,3948.703102
2028,3972.983246
2029,3997.249017
2030,4021.527686
2031,4045.794263
2032,4070.071973
2033,4094.339436
2034,4118.61641
2035,4142.884682
2036,4167.160937
2037,4191.429901
2038,4215.705506
2039,4239.975062
2040,4264.250112
2041,4288.520177
2042,4312.794757
2043,4337.065254
2044,4361.33944
2045,4385.610298
2046,4409.884154
2047,4434.155312
2048,4458.428897
2049,4482.7003
2050,4506.973662
