Year,Buildings
2015,3583.90587
2016,3535.256005
2017,3487.551009
2018,3440.458336
2019,3394.195802
2020,3348.78452
2021,3304.17274
2022,3260.318406
2023,3217.297886
2024,3175.019227
2025,3133.558112
2026,3092.856312
2027,3052.970844
2028,3013.847768
2029,2975.539757
2030,2937.997296
2031,2901.26534
2032,2865.302482
2033,2830.146492
2034,2795.762786
2035,2762.182953
2036,2729.378328
2037,2697.374902
2038,2666.149193
2039,2635.722385
2040,2606.075397
2041,2577.225378
2042,2549.156937
2043,2521.883863
2044,2495.393819
2045,2469.697831
2046,2444.786057
2047,2420.667271
2048,2397.333661
2049,2374.792174
2050,2353.036639
