Year,Buildings
2015,3622.87157
2016,3612.540234
2017,3602.241779
2018,3591.90581
2019,3581.578421
2020,3571.264421
2021,3560.952788
2022,3550.634273
2023,3540.325748
2024,3530.006767
2025,3519.694246
2026,3509.375015
2027,3499.062075
2028,3488.743014
2029,3478.430061
2030,3468.111626
2031,3457.798331
2032,3447.480305
2033,3437.166633
2034,3426.848919
2035,3416.534903
2036,3406.217495
2037,3395.903185
2038,3385.586053
2039,3375.271492
2040,3364.954596
2041,3354.639818
2042,3344.323121
2043,3334.00816
2044,3323.691631
2045,3313.376517
2046,3303.060127
2047,3292.744886
2048,3282.428612
2049,3272.113266
2050,3261.797087
