Year,Buildings
2015,3596.833884
2016,3566.964445
2017,3528.946771
2018,3494.941716
2019,3459.371427
2020,3422.767701
2021,3386.110516
2022,3349.798463
2023,3313.106273
2024,3276.808057
2025,3240.303225
2026,3203.990027
2027,3167.511693
2028,3131.177443
2029,3094.709561
2030,3058.351908
2031,3021.898594
2032,2985.527297
2033,2949.085707
2034,2912.705226
2035,2876.272309
2036,2839.884615
2037,2803.457991
2038,2767.064844
2039,2730.642854
2040,2694.245675
2041,2657.827144
2042,2621.426983
2043,2585.011024
2044,2548.608652
2045,2512.194598
2046,2475.790587
2047,2439.377944
2048,2402.972718
2049,2366.56112
2050,2330.154995
